time,main_reservoir.storage,main_tunnel.output,surge_tank.storage,pressure_pipe_1.output,pressure_pipe_2.output,high_level_tank.storage,final_channel.output
87.0,4457.480038673685,8.667194849112496,41.294967113388886,19.744794763680076,4.9711505518094325,-28.217936075363255,6.000000000000002
88.0,4498.565078596338,8.74986045941427,40.882017442255,19.601219041643226,5.6499313428780535,-22.21528053154316,6.000000000000002
89.0,4539.567948439146,8.832360738495442,40.47319726783245,19.458086755259046,6.2170096778685675,-15.720579847030304,6.000000000000002
90.0,4580.488812542268,8.91469601701845,40.06846529515412,19.31539109087464,6.664982595845115,-8.859090003097311,6.000000000000002
91.0,4621.327834917183,8.996866624984413,39.66778064220258,19.173125373627165,6.989315666003648,-1.7590357120549465,6.000000000000002
92.0,4662.085179247349,9.078872891734445,39.27110283578055,19.031283056726544,7.18823641805594,5.45118865240168,6.000000000000002
93.0,4702.761008888854,9.160715145950977,38.878391807422744,18.88985771146757,7.262544847427999,12.645593641674658,6.000000000000002
94.0,4743.355486871076,9.242393715659075,38.48960788934852,18.74884301791424,7.215363764720871,19.702887485874594,6.000000000000002
95.0,4783.868775897334,9.323908928227757,38.104711810455036,18.608232756203744,7.051851750157354,26.508453142458517,6.000000000000002
96.0,4824.301038345539,9.405261110371303,37.72366469235049,18.468020798421694,6.778899473303433,32.95599695148122,6.000000000000002
97.0,4864.652436268849,9.486450588150559,37.34642804542698,18.32820110100402,6.404826805720478,38.94887379530818,6.000000000000002
98.0,4904.923131396311,9.567477686974257,36.97296376497271,18.188767697624474,5.939094148186649,44.40110702105348,6.000000000000002
99.0,4945.113285133519,9.648342731600309,36.603234127322985,18.04971469252987,5.39203727608907,49.23813045937938,6.000000000000002
100.0,4985.2230585632515,9.729046046137109,36.23720178604975,17.91103625428816,4.77463118973436,53.39728501837149,6.000000000000002
101.0,5045.252612446125,9.809587954044837,35.87482976818926,17.77272660991711,4.098285195520429,56.82810415116228,6.000000000000002
102.0,5105.162107221232,9.895186169441093,35.516081470507366,17.634780039363907,3.374668853912932,59.492421703185684,6.000000000000002
103.0,5164.95178300679,9.995736061752494,35.16092065580229,17.497190870308117,2.6155665188123636,61.364332950708224,6.000000000000002
104.0,5224.621879440776,10.104632565300887,34.80931144924427,17.359953473262745,1.832756898078286,62.430035686902656,6.000000000000002
105.0,5284.1726356818945,10.218142590767446,34.46121833475183,17.22306225694984,1.037913287990531,62.6875735288069,6.000000000000002
106.0,5343.604290410531,10.334156339401698,34.116606151404305,17.086511663928974,0.2425197659536281,62.146498625650445,6.000000000000002
