time,main_river_channel.storage,branch1_channel.output,branch2_pipe.output,regulating_reservoir.storage,total_outflow.output
191.0,4419.212375136869,423.44829897826776,nan,nan,nan
192.0,4425.0202513855,423.73291254310334,nan,nan,nan
193.0,4430.7700488716455,424.0144917249351,nan,nan,nan
194.0,4436.462348382929,424.29307098129937,nan,nan,nan
195.0,4442.0977248991,424.5686843311991,nan,nan,nan
196.0,4447.676747650109,424.8413653617705,nan,nan,nan
197.0,4453.199980173608,425.1111472348217,nan,nan,nan
198.0,4458.6679803718725,425.37806269324926,nan,nan,nan
199.0,4464.081300568154,425.6421440673324,nan,nan,nan
200.0,4469.440487562472,425.9034232809112,nan,nan,nan
201.0,4474.746082686847,426.16193185744817,nan,nan,nan
202.0,4479.998621859979,426.41770092597835,nan,nan,nan
203.0,4485.198635641379,426.6707612269492,nan,nan,nan
204.0,4490.346649284966,426.9211431179534,nan,nan,nan
205.0,4495.443182792116,427.16887657935683,nan,nan,nan
206.0,4500.488750964195,427.41399121982363,nan,nan,nan
207.0,4505.483863454553,427.6565162817417,nan,nan,nan
208.0,4510.429024820008,427.89648064655034,nan,nan,nan
209.0,4515.324734571807,428.13391283997174,nan,nan,nan
210.0,4520.171487226089,428.3688410371491,nan,nan,nan
211.0,4524.969772353828,428.60129306769363,nan,nan,nan
212.0,4529.72007463029,428.8312964206418,nan,nan,nan
213.0,4534.4228738839865,429.05887824932495,nan,nan,nan
214.0,4539.078645145147,429.28406537615376,nan,nan,nan
215.0,4543.6878586936955,429.50688429731906,nan,nan,nan
216.0,4548.250980106758,429.7273611874099,nan,nan,nan
217.0,4552.76847030569,429.9455219039527,nan,nan,nan
218.0,4557.240785602633,430.1613919918715,nan,nan,nan
219.0,4561.668377746607,430.374996687871,nan,nan,nan
220.0,4566.051693969141,430.5863609247456,nan,nan,nan
221.0,4570.391177029449,430.7955093356139,nan,nan,nan
222.0,4574.687265259155,431.0024662580819,nan,nan,nan
223.0,4578.940392606563,431.20725573833585,nan,nan,nan
224.0,4583.150988680498,431.40990153516566,nan,nan,nan
225.0,4587.319478793693,431.6104271239212,nan,nan,nan
226.0,4591.446284005756,431.8088557004023,nan,nan,nan
227.0,4595.531821165699,432.0052101846843,nan,nan,nan
228.0,4599.576502954042,432.19951322487964,nan,nan,nan
229.0,4603.580737924502,432.39178720083805,nan,nan,nan
230.0,4607.544930545257,432.5820542277852,nan,nan,nan
231.0,4611.469481239804,432.77033615990234,nan,nan,nan
232.0,4615.354786427406,432.9566545938471,nan,nan,nan
233.0,4619.2012385631315,433.1410308722171,nan,nan,nan
234.0,4623.0092261775,433.32348608695776,nan,nan,nan
235.0,4626.779133915725,433.50404108271505,nan,nan,nan
236.0,4630.511342576568,433.68271646013386,nan,nan,nan
237.0,4634.206229150802,433.85953257910444,nan,nan,nan
238.0,4637.864166859294,434.0345095619563,nan,nan,nan
239.0,4641.485525190701,434.2076672966018,nan,nan,nan
240.0,4645.070669938794,434.3790254396297,nan,nan,nan
241.0,4648.6199632394055,434.5486034193499,nan,nan,nan
