time,upstream_channel.output,downstream_channel.output,pid_controller_downstream.output,upstream_inflow.output,downstream_demand.output
218.0,10.0,-8.0,-18.92,10.0,8.0
219.0,10.0,-8.0,-19.0,10.0,8.0
220.0,10.0,-8.0,-19.080000000000002,10.0,8.0
221.0,10.0,-8.0,-19.16,10.0,8.0
222.0,10.0,-8.0,-19.240000000000002,10.0,8.0
223.0,10.0,-8.0,-19.32,10.0,8.0
224.0,10.0,-8.0,-19.400000000000002,10.0,8.0
225.0,10.0,-8.0,-19.48,10.0,8.0
226.0,10.0,-8.0,-19.560000000000002,10.0,8.0
227.0,10.0,-8.0,-19.64,10.0,8.0
228.0,10.0,-8.0,-19.720000000000002,10.0,8.0
229.0,10.0,-8.0,-19.8,10.0,8.0
230.0,10.0,-8.0,-19.880000000000003,10.0,8.0
231.0,10.0,-8.0,-19.96,10.0,8.0
232.0,10.0,-8.0,-20.040000000000003,10.0,8.0
233.0,10.0,-8.0,-20.12,10.0,8.0
234.0,10.0,-8.0,-20.200000000000003,10.0,8.0
235.0,10.0,-8.0,-20.28,10.0,8.0
236.0,10.0,-8.0,-20.36,10.0,8.0
237.0,10.0,-8.0,-20.44,10.0,8.0
238.0,10.0,-8.0,-20.52,10.0,8.0
239.0,10.0,-8.0,-20.6,10.0,8.0
240.0,10.0,-8.0,-20.68,10.0,8.0
241.0,10.0,-8.0,-20.76,10.0,8.0
242.0,10.0,-8.0,-20.84,10.0,8.0
243.0,10.0,-8.0,-20.92,10.0,8.0
244.0,10.0,-8.0,-21.0,10.0,8.0
245.0,10.0,-8.0,-21.080000000000002,10.0,8.0
246.0,10.0,-8.0,-21.16,10.0,8.0
247.0,10.0,-8.0,-21.240000000000002,10.0,8.0
248.0,10.0,-8.0,-21.32,10.0,8.0
249.0,10.0,-8.0,-21.400000000000002,10.0,8.0
